page,label_object,en,vn,,,
kitchen_detail,kitchen_detail_name_label,,TÊN QUÁN TRÊN APP:,,,
kitchen_detail,kitchen_detail_working_status_label,,Trạng thái hoạt động:,,,
kitchen_detail,kitchen_detail_opening_label,,Khung giờ hoạt động của Quán trên App:,,,
kitchen_detail,kitchen_detail_login_phone_label,,SĐT ĐĂNG KÍ APP:,,,
kitchen_detail,kitchen_detail_extra_email_label,,EMAIL ĐĂNG NHẬP:(Nhận thông báo của Grab),,,
kitchen_detail,kitchen_detail_main_email_label,,EMAIL CHÍNH:(Nhận HĐ điện tử + Báo cáo doanh thu),,,
kitchen_detail,kitchen_detail_commission_percent_label,,% Hoa hồng của bếp đối tác:,,,
kitchen_detail,kitchen_detail_ingredient_percent_label,,% Nguyên liệu của bếp đối tác (nếu có):,,,
kitchen_detail,kitchen_detail_internal_note_label,,Ghi chú nội bộ:,,,
kitchen_detail,kitchen_detail_edit_button,,CHỈNH SỬA,,,
create_brand,create_brand_breadcrumbs,,Bếp > Thương Hiệu > Tạo Thương Hiệu,,,
create_brand,create_brand_logo_label,,Logo thương hiệu:,,,
create_brand,create_brand_select_image_label,,Chọn hình ảnh,,,
create_brand,create_brand_name_label,,Tên thương hiệu:,,,
create_brand,create_brand_contact_name_label,,Tên người Liên hệ:,,,
create_brand,create_brand_contact_phone_label,,Điện thoại Liên hệ:,,,
create_brand,create_brand_contact_address_label,,Địa chỉ Liên hệ:,,,
create_brand,create_brand_email_label,,Email (nếu có):,,,
create_brand,create_brand_franchise_fee_label,,Phí nhượng quyền thương hiệu:,,,
create_brand,create_brand_edit_button,,LƯU,,,
create_brand,create_brand_error_brand_name_null,,Tên thương hiệu không được bỏ trống.,,,
create_brand,create_brand_error_brand_name_less_than_2_char,,Tên thương hiệu phải ít nhất 2 ký tự.,,,
create_brand,create_brand_error_brand_name_more_than_200_char,,Tên thương hiệu không nhiều hơn 200 ký tự.,,,
create_brand,create_brand_error_contact_name_null,,Tên người Liên hệ không được bỏ trống.,,,
create_brand,create_brand_error_contact_name_less_than_2_char,,Tên người Liên hệ phải ít nhất 2 ký tự.,,,
create_brand,create_brand_error_contact_name_more_than_200_char,,Tên người Liên hệ không nhiều hơn 200 ký tự.,,,
create_brand,create_brand_error_phone_null,,Điện thoại Liên hệ không được bỏ trống.,,,
create_brand,create_brand_error_phone_invalid,,Điện thoại Liên hệ không hợp lệ. Vui lòng thử lại.,,,
create_brand,create_brand_error_brand_address_null,,Địa chỉ Liên hệ không được bỏ trống.,,,
create_brand,create_brand_error_brand_address_less_than_2_char,,Địa chỉ Liên hệ phải ít nhất 2 ký tự.,,,
create_brand,create_brand_error_brand_address_more_than_200_char,,Địa chỉ Liên hệ không nhiều hơn 200 ký tự.,,,
create_brand,create_brand_error_email_invalid,,Email không hợp lệ. Vui lòng thử lại.,,,
create_brand,create_brand_error_franchise_fee_percentage_null,,Phí nhượng quyền thương hiệu không được bỏ trống.,,,
create_brand,create_brand_error_franchise_fee_percentage_less_than_0_percent,,Phí nhượng quyền thương hiệu phải lớn hơn hoặc bằng 0%.,,,
create_brand,create_brand_error_franchise_fee_percentage_mote_than_100_percent,,Phí nhượng quyền thương hiệu phải nhỏ hơn hoặc bằng 100%.,,,
create_brand,create_brand_error_franchise_fee_percentage_invalid,,Phí nhượng quyền thương hiệu không hợp lệ. Vui lòng thử lại.,,,
create_brand,create_brand_error_upload_image_max_size,,Logo upload không vượt quá 5MB,,,
create_brand,create_brand_error_upload_image_file_type,,"Logo chỉ thuộc các định dạng: jpeg, jpg, png, svg",,,
brand_list,brand_list_breadcrumbs,,Bếp > Thương Hiệu,,,
brand_list,brand_list_create_button_label,,Tạo Thương Hiệu,,,
brand_list,brand_list_logo_label,,Logo,,,
brand_list,brand_list_name_label,,Tên thương hiệu,,,
brand_list,brand_list_contact_name_label,,Tên người Liên hệ,,,
brand_list,brand_list_contact_phone_label,,Điện thoại Liên hệ,,,
brand_list,brand_list_contact_address_label,,Địa chỉ Liên hệ,,,
brand_list,brand_list_email_label,,Email (nếu có),,,
brand_list,brand_list_franchise_fee_label,,Phí nhượng quyền thương hiệu,,,
brand_detail,brand_detail_name_label,,Tên thương hiệu:,,,
brand_detail,brand_detail_contact_name_label,,Tên người Liên hệ:,,,
brand_detail,brand_detail_contact_phone_label,,Điện thoại Liên hệ:,,,
brand_detail,brand_detail_contact_address_label,,Địa chỉ Liên hệ:,,,
brand_detail,brand_detail_email_label,,Email (nếu có):,,,
brand_detail,brand_detail_franchise_fee_label,,Phí nhượng quyền thương hiệu:,,,
brand_detail,brand_detail_edit_button,,CHỈNH SỬA,,,
brand_products,brand_products_image_url ,,Hình ảnh món ăn,,,
brand_products,brand_products_recipe_image_url,,Hình ảnh công thức,,,
brand_products,brand_products_name,,Tên món ăn,,,
brand_products,brand_products_description,,Mô tả chi tiết,,,
brand_products,brand_products_price,,Giá bán món ăn,,,
brand_products,brand_products_image_url_over_5mb,,Hình ảnh món ăn upload không vượt quá 5MB,,,
brand_products,brand_products_image_url_upload_file_error,,"Hình ảnh món ăn chỉ thuộc các định dạng: jpeg, jpg, png, svg",,,
brand_products,brand_products_recipe_image_url_over_5mb,,Hình ảnh món ăn upload không vượt quá 5MB,,,
brand_products,brand_products_recipe_image_url_upload_file_error,,"Hình ảnh món ăn chỉ thuộc các định dạng: jpeg, jpg, png, svg",,,
brand_products,brand_products_name_null,,Tên món ăn không được bỏ trống.,,,
brand_products,brand_products_name_error_less_2_char,,Tên món ăn phải ít nhất 2 ký tự.,,,
brand_products,brand_products_name_error_more_200_char,,Tên món ăn không nhiều hơn 200 ký tự.,,,
brand_products,brand_products_description_error_less_2_char,,Mô tả chi tiết phải ít nhất 2 ký tự.,,,
brand_products,brand_products_description_error_more_200_char,,Mô tả chi tiết không nhiều hơn 200 ký tự.,,,
brand_products,brand_products_price_null,,Giá bán món ăn không được bỏ trống.,,,
brand_products,brand_products_price-invalid,,Giá bán món ăn không hợp lệ. Vui lòng thử lại.,,,
brand_products,brand_products_price_at_least_1000,,"Giá bán món ăn phải ít nhất 1,000đ.",,,
brand_products,brand_products_price_not_over_1000000,,"Giá bán món ăn không nhiều hơn 1,000,000đ.",,,
brand_variants,brand_variants_image_url,,Hình ảnh size món ăn,,,
brand_variants,brand_variants_name,,Tên size món ăn,,,
brand_variants,brand_variants_description,,Mô tả chi tiết,,,
brand_variants,brand_variants_price,,Giá bán size món ăn,,,
brand_variants,brand_variants_image_urll_over_5mb,,Hình ảnh size món ăn upload không vượt quá 5MB,,,
brand_variants,brand_variants_image_url_upload_file_error,,"Hình ảnh size món ăn chỉ thuộc các định dạng: jpeg, jpg, png, svg",,,
brand_variants,brand_variants_name_null,,Tên size món ăn không được bỏ trống.,,,
brand_variants,brand_variants_name_error_less_2_char,,Tên size món ăn phải ít nhất 2 ký tự.,,,
brand_variants,brand_variants_name_error_more_200_char,,Tên size món ăn không nhiều hơn 200 ký tự.,,,
brand_variants,brand_variants_description_error_less_2_char,,Mô tả chi tiết phải ít nhất 2 ký tự.,,,
brand_variants,brand_variants_description_error_more_200_char,,Mô tả chi tiết không nhiều hơn 200 ký tự.,,,
brand_variants,brand_variants_price_null,`,Giá bán size món ăn không được bỏ trống.,,,
brand_variants,brand_variants_price_invalid,,Giá bán size món ăn không hợp lệ. Vui lòng thử lại.,,,
brand_variants,brand_variants_price_at_least_1000,,"Giá bán size món ăn phải ít nhất là 1,000đ.",,,
brand_variants,brand_variants_price_not_over_1000000,,"Giá bán size món ăn không nhiều hơn 1,000,000đ.",,,
brand_modifier_group,brand_modifier_group_name_label,,Tên nhóm món thêm,,,
brand_modifier_group,brand_modifier_group_description_label,,Mô tả chi tiết,,,
brand_modifier_group,brand_modifier_group_multi_max_label,,Sốl lượng tối đa cho nhóm món thêm,,,
brand_modifier_group,brand_modifier_group_name_null,,Tên nhóm món thêm không được bỏ trống.,,,
brand_modifier_group,brand_modifier_group_name_error_less_2_char,,Tên nhóm món thêm phải ít nhất 2 ký tự.,,,
brand_modifier_group,brand_modifier_group_name_error_more_200_char,,Tên nhóm món thêm không nhiều hơn 200 ký tự.,,,
brand_modifier_group,brand_modifier_group_description_error_less_2_char,,Mô tả chi tiết phải ít nhất 2 ký tự.,,,
brand_modifier_group,brand_modifier_group_description_error_more_200_char,,Mô tả chi tiết không nhiều hơn 200 ký tự.,,,
brand_modifier_group,brand_modifier_group_multi_max_error_bull,,Số lượng tối đa cho số món thêm không được bỏ trống.,,,
brand_modifier_group,brand_modifier_group_multi_max_error_at_least_1,,Số lượng tối đa cho số món thêm phải ít nhất là 1.,,,
